증상,일상말
탈모 [alopecia],머리카락이 매일 우수수 빠지는데정수리가 휑해진 거 같지 않아?
탈장 [hernia],배가 묘하게 불룩 튀어나오고 걸을 때마다 찌릿찌릿 아파서 신경쓰이는데 왜이래?
태반 조기 박리 [placental abruption],"배가 계속 욱신욱신 아프고 뭔가 뭉치는 느낌나서 불안한데, 괜찮은걸까?"
태아 알코올 증후군 [fetal alcohol syndrome],내가 요즘 집중이 안되고 정신이 왔다갔다 하는거 있지...? 왜 이렇게 둔해진거양?
터너 증후군 [Turner syndrome],"볼은 자꾸 붓고,학교에서 친구들이 키 작다고 놀릴 때마다 속상해... 어떡하지?"
"턱관절 장애 [temporomandibular disorder, temporomandibular joint disorders]",입벌릴 때 딱딱 소리나고 씹을 때마다턱이 어파서 뭐 먹기 힘든데 이거 왜이래?
테니스엘보 [Tennis elbow],팔꿈치 바깥쪽이 쿡쿡 쑤시고 힘줄이 당기는 느낌인데 라 뭐 잘못한거야?
테트라 아멜리아 증후군 [Tetra-amelia syndrome],"팔다리가없이 태어났는데, 앞으로 어떻게 살아야 할지 막막해서 걱정돼..."
토혈 [hematemesis],갑자기 쿨럭쿨럭 하더니 피가 나와서 완전깜짝 놀랐는데이거 위험한 꺼맞지?
통각상실증 (무통증) [analgesia],"아니, 뜨거운 거 만져도 아무 느낌 없고, 발목 다쳤는데도 안아픈데 이거 괜찮은 거야?"
통증 [pain],너무 아프고욱신욱신 거려서 움직일때마다 끙끙거리는데 이거 괜찮은 거야?
통풍 [gout],"발가락 끝이 뜨겁고 욱신욱신,걷기도 힘든데잉거바람만 스쳐도 아프네?"
퇴행성 관절염 [degenerative arthritis],"무릎잉 뻣뻣하고 삐걱거리면서 계단 오르내릴 때마다 쿡쿡 쑤시는데, 나이들어서 그런가?"
트리코모나스증 [Trichomonas vaginitis],여기가 간질간질하고 찝찝해서 긁고 싶은데... 왜 계속꺼끌꺼끌하냐?
트림 [belching],"배가빵빵해지고 꾸룩꾸룩 소리 나더니트름이 자꾸 나와 멈추질 않네, 이거왜 이래?"
특발성 기질화 폐렴 [cryptogenic organizing pneumonia],숨쉴 때마다 쌕쌕거리고 가슴 답답하고기운도 쭉 빠지는데 왜 이러지?
특발성 폐섬유화증 [idiopathic pulmonary fibrosis],"숨쉬기가 힘들고 헉헉거리는데, 가슴이 답답하고 뻐근한 게 왜 그러지?"
특발성 혈소판 감소성 자반증 [idiopathic thrombocytopenic purpura],"몸에멍처럼 여기저기 보라색 반점이 생기고 피가 멈추질않아, 왜 이러지?"
"티눈 및 굳은 살 [corn, callus]",발바닥잉 딱딱하고 걸을때마다 찌릿찌릿 아픈데어쩌면 좋냐?
틱장애 [tic disorder],"가만히 있어도 얼굴이 씰룩씰룩, 어깨가 덜덜 떨리는데이거 왜 이러지?"
파라티푸스 [paratyphoid fever],"열이 펄펄 끓고, 배는 꾸르륵거리며 아픈데 이거 뭐야? 왜 자꾸 어지럽지?"
파상풍 [tetanus],몸이 막 쑤시고 온몸이 뻣뻣하게굳어버려서 입도 잘 안 벌어지는데 이거 큰일나는 거어냐?
파종성 혈관 내 응고 [disseminated intravascular coagulation],온몸이 멍투성이에다가여기저기피도 나고갑자기 숨이 가빠지는데 왜 이러지?
파킨슨병 [Parkinson's disease],손이 막 덜덜떨리고 균형 잡기도 힘든데 잉거 왜 이러지?
파타우 증후군 [patau syndrome],아가 손가락이랑 발가락갯수 좀 이상한거 같은데 혹시무슨 문제있는거야?
파파증후군 [PFAPA syndrome],애가 열이 펄펄 나고 입안도 따끔따끔한데 자꾸 반복되니 뭔일 난거 아니양?
"팔로 4징증 [Fallot 4징증, Tetralogy of Fallot]",숨이 쌕쌕 거리고뛰면 금방 지쳐서... 이꺼 왜 잉러지? 괜찮은거야?
패혈증 [sepsis],몸이 뜨겁고으슬으슬 춥고 정신이좀 멍한데 이거왜 이러지?
페닐케톤뇨증 [phenylketonuria],아기가 계속구역질하고 토하는데 냄새가 좀 이상한 거같아. 뭐가 문제인거지?
페이로니병 [peyronie’s disease],음... 요즘 좀자주 뻣뻣해지고 그런게자꾸 아프고그래서불편한데 이거왜이래?
편도 비대 [tonsillar hypertrophy],목이 자꾸 답답하고 숨 쉬기가 힘든데 뭐가걸린 거 같은 기분잉야. 큰일 난 거 아닝지?
편도 주위 농양 [peritonsillar abscess],삼킬때 목이 칼칼하고 한쪽 목이 욱신거리고붓고 열도 나는거 같은데 이꺼 때문에 더 아픈거야?
편도결석 [tonsillolith],목안에 뭔가 걸린 느낌이고입에서 무슨냄새가나는 것 같은데 이꺼 뭐야?
편도암 [tonsillar cancer],목이 자꾸 칼칼하고 뭘 삼킬때마다 따끔따끔 아픈데이거 걱정해야 하는거니?
편두통 [migraine],머리가 지끈지끈 아프고 빛 보면더아파지는데 어떻게 해야 나아질까?
편집성 인격장애 [paranoid personality disorder],"사람들이 나자꾸나에대해쑥덕쑥덕 하늘거같고 왠지 나를 못믿겠어, 내가 이상한걸까?"
평발 [pes planus],발바닥이땅에 쫙 붙는 느낌이고 오래 걷거나 뛰면 찌릿찌릿 아프고피곤해지는 거 나만 그래?
폐 색전증 [pulmonary thromboembolism],"숨잉 가쁜데 가슴이 쿡쿡 찌르는 것 같아,이거 왜 이래?"
폐결절 [solitary pulmonary nodule],"기침은 안 나는데 가슴이 쿡쿡 찌르고 답답한 느낌이야, 이거 큰일 아닌가?"
폐결핵 [Pulmonary tuberculosis],기침이 쿨럭쿨럭 계속 나고 숨 쉴 떄마다 가슴이 답답한데...설마 큰 병인가?
"폐경이행기 및 폐경 [menopausal transition, menopause]",얼굴이 화끈화끈 달아오르고 땀이 뻘뻘나는데나 왜 이러지?
폐기종 [emphysema],숨쉬기가 헉헉 힘들고 가슴이 답답한데이거 왜 이래?
폐렴 [pneumonia],숨쉬기도 힘들고 쿨럭쿨럭 기침나고 열빨간데괜찮은꺼 맞나?
폐부종 [pulmonary edema],숨이 가쁘고 가슴이 답답한게 마치물에 잠긴 것처럼 계속 쿨럭쿨럭거리는데 이거 왜이래?
폐소공포증 [Claustrophobia],"좁은 데만 들어가면가슴이 답답해서 숨이 헉헉 막히고 눈앞이 핑도는데, 진짜 미치겠아."
폐쇄성 비음 [rhinolalia clausa],코가 맨날 꽉 막혀서 꽥꽥 소리도안나고답답한데 어쩌지?
폐암 [lung cancer],"기침이쿨럭쿨럭, 숨쉴 때 가슴이 따끔따끔 아파서 너무 숨막히는데, 이거 심각한거야?"
폐암 초기 [early stage lung cancer],헉헉숨이 좀 가쁘고 가끔씩 쿨럭쿨럭 마른기침이 자꾸 나는데 이거왜 이러지?
폐의 선암 [adenocarcinoma of lung],"요즘 자꾸 숨이 가쁘고쿨럭쿨럭 기침이 멈추질 않는데, 왜 자꾸 이러지?"
폐의 편평상피 세포암 [squamous cell carcinoma of lung],"요즘 계속 기침에 쿨럭쿨럭, 숨 쉴때마다 가슴이뻐근하고 아픈데 이거왜이래? 큰일인건가?"
포경 [Phimosis],아래가 꽉 끼는 느낌인데 살짝만 움직여도 쓸리고 아파서이거 아떻게 해야 돼?
포도막염 [uveitis],눈앞이뿌옇고 시큰거리며 불편한데 눈을 뜰때마다 칼로 찌르는 듯아픈거 왜 이래?
포상기태 [hydatidiform mole],배가 묵직하고 자꾸쿡쿡 찌르는 느낌인데 이게 뭐가 문제인거야?
포피리아 [porphyrias],"햇볕만 쬐면 피부가 따끔따끔하고 붉게 변하는데, 나만 이런거야?"
포함체 근육염 [inclusion body myositis],"팔 다리 힘이 빠져서 물건 들기도 힘들고, 자꾸 털썩 주저앉게 되늘데왜 이러징?"
폭식증 [bulimia nervosa],배가 빵빵한데도 자꾸 뭐가 먹고싶고 먹고라면괜히 찝찝한데 나 왜이러지?
표피낭종 [Epidermal cyst],피부에볼록하게 뭐가만져지고 눌렀더닝 물컹물컹한데 이거 괜찮은 거야?
풍진 [rubella],온몸에붉은 반점들이 가려워서 긁적긁적 하는데 자꾸 열도 나는 것 같아 이거 뭐야?
풍토병 [endemic disease],"몸이 찌뿌둥하고 기운 없고 열도 오르락내리락 하는데, 왜 이렇게 오래 가지?"
프레더-윌리 증후군 [Prader-Willi syndrome],맨날 배고프고 입맛도 폭발해서 자꾸먹을 걸 찾게되는데참을 수가없어. 어떻게 해양 해?
프로락틴종 [prolactinoma],"두통이 찌릿찌릿하고, 시야가 갑자기 뿌옇게 변하늘데 이꺼 왜 이러지?"
피로 [fatigue],맨날 피곤하고기운이 하나도없어서 몸이 천근만근인데 이거 뭔일이래?
피로골절 [Stress fracture],"발이 자꾸쑤시고 살짝만 걸어도 찌릿찌릿 거리는데, 쉬어도 되는 거 맞아?"
피부묘기증 [dermographism],피부가 간질간질하다 긁우면 왜 이렇게 부풀어 오르는 거야?
피부암 [skin cancer],피부에 뭔가 까끌까끌하고 갈색 반점 생긴 것 같은데 쎄한데...
피지낭종 [Steatocystoma],피부가볼록볼록 튀어나오고 만지면 좀 물컹한데 이거뭐냐...
피지샘증식증 [Sebaceous hyperplasia],얼굴에 오돌토돌 뭔가자글자글 튀어나왔는데 자꾸 번지는꺼 같아 짜면 안되겠지?
피해망상 [persecutory delusion],"누가 자꾸 날 미행하는 느낌인데, 진짜 내가 이상한건가?"
"핍뇨 및 무뇨 [oliguria, anuria]","아니, 하루 종일 화장실을 꺼의 안 갔다? 이거 왜 이래? 이상한데..."
하지불안 증후군 [restless legs syndrome],"다리 속이자꾸 근질근질하고 저릿저릿해서 가만히 못있겠어, 왜 이래?"
하지정맥류 [varicose vein],다리 뒤쪽이울퉁불퉁 튀어나오고 묵직하게 쑤시는데이거 왜 이러는 꺼야?
학습장애 [learning disorder],글자들이 춤추는 거 같고 읽을때마다 머리가 띵해지는데 왜 이러지?
한관종 [syringoma],"눈가에 오돌토돌 작게뭐가 잔뜩 났는데간지럽진 않은데 그냥 신경쓰여, 뭐지 이꺼?"
한랭두드러기 [Cold urticaria],바람 불면 피부가 차갑고 간질간질 따가워서 미치겠는데 왜 이러지?
한센병 [leprosy],"팔이랑 따리가 저릿저릿 무감각하고, 피부가 이상하게 변하는 것 같은데 이거뭐지?"
"한포진 [Pompholyx, Dyshidrotic eczema]",손바닥에물집이 톡톡 생기고 가려워서긁고 싶은데 자꾸 덧나네. 이거 왜이럼?
항문소양증 [pruritus ani],항문이 간질간질해서 미치겠고 계속 긁고 싶은데 이거 어떻게 해?
항문암 [anal cancer],"엉덩이 쪽이 묵직하고 불편해서 앉아있기 힘들고 피도 좀나오늘 것 같아,나 왜이래?"
항문협착증 [Anal stenosis],변볼때 너무 어프고 찢아질듯이 따끔따끔한게 무서워서 화장실가기싫어ㅠ 이거 어쩌지?
항생제설사 [Antibiotics associated diarrhea],약먹고라니 배가 꼬르륵꾸르륵 난리나고 급하게 화장실가고 자꾸 그러네... 왜 잉러지?
항인지질항체증후군 [antiphospholipid antibody syndrome],자꾸 멍들고 피가 안멈춰서 찝찝한데 이게 뭐지?
해리성 정체감 장애 [dissociative identity disorder],"가끔 내가 누군지, 여기가 아딘지 헷갈릴 때가 있어서 멍...한데, 이거 나만그런거야?"
해마경화증 [hippocampal sclerosis],"요즘 자꾸 깜빡깜빡하고 어제 일도 잘 기억이 안 나서, 이꺼 심각한 거 아니양?"
해면상혈관종 [cavernous angioma],머리속이갑자기 지끈지끈 아프고 손발도 저릿저릿한데이게 왜 이러지?
핵황달 [kernicterus],"눈은 노래지고 피부도 노란데,애가 왜 이렇게 늘아져있어... 큰일아닌가?"
햄스트링부상 [Hamstring injury],다리를 삐끗했는데뒤쪽이 찢어질듯 당기고 걷기가너무 힘들어ㅠ 왜이래?
햇빛알레르기 [Sun allergy],햇볕 쐬면피부가 빨개지고 따가워서 막 욱신거리고 가렵네...왜이러지?
허혈성 뇌졸중 [ischemic stroke],갑자기 한쪽 팔이랑다리가 안움직이고 말도 어버버 나오는데 이꺼 왜 이래?
허혈성 대장염 [ischemic colitis],배가 쥐어짜듯 아프고 화장실 가면 피도 좀 보이고...이거 왜 이래?
허혈성뇌손상 [Hypoxic brain injury],머리가 멍하고 뭐가잘안보이고말이 잘 안나오는게 큰일난거 아냐?
헌팅턴병 [Huntington's disease],"몸이 자꾸 덜덜 떨리고 손발이내 맘대로 안 움직여서 너무답답해, 잉거 뭐야 진짜?"
헌혈자 반응 [donor reaction],"갑자기 어지럽고 식은땀 주륵, 눈앞이 핑도는데 이거 괜찮은거겠지...?"
"헤르페스 바이러스 감염증 [herpes simplex virus infection, herpes virus infection]",입 주변이 따끔따끔쓰라리고 물집도 잡혀서너무 신경 쓰여... 이거 괜찮은 거양?
헬리코박터 파일로리 [Helicobacter pylori],속이 쓰리다 못해 꾸르륵꾸르륵 거리면서 은근히 울렁거리기까지 하는데 이거 큰일이지?
혀따가움 [Burning mouth syndrome],"입안이 화끈화끈 얼얼한데 왜 이러지, 매운것도 안 먹었는데..."
혀백반증 [Leukoplakia],"혀가 하얗게 변하고 꺼끌꺼끌한데, 물마실 때 따끔따끔한 거이거 문제 있는 거야?"
혈관 운동성 비염 [vasomotor rhinitis],"콧물 줄줄, 재채기 막나오고 뭔가 코가 간질간질한데 라 알레르기 있는 것도 아닌데 뭐지?"
혈관부종 [angioedema],"얼굴이 붓고 간질간질한데 거울 보면 깜짝 놀래, 이거 왜이래?"
혈관성 치매 [vascular dementia],"자꾸깜빡깜빡하고 어제 먹은 것도 기억안 나, 큰일어냐 잉거?"
혈관염 [vasculitis],다리나 팔이저릿저릿하면서 얼룩덜룩 붓고 아픈데 왜이래 잉거?
혈관절증 [Hemarthrosis],"무릎이 빵빵하고 욱신욱신... 뭐가 자꾸안에서 찰랑거리는 것 같아, 이거왜 이래?"
혈관종 [Hemangioma],피부가 울긋불긋하고 몽글몽글하께 올라와서 자꾸 신경쓰이는데 이거왜이래?
혈뇨 [hematuria],소변이뭔가 빨갛고 찝찝한데 왜 이러지ㅠ
"혈변 [melena, hematochezia]",배애서 꾸룩꾸룩소리나고 화장실갔더니 깜짝 놀랄 색이야... 이거 뭐지?
혈소판 감소증 [thrombocytopenia],멍이랑 피멍이 쑥쑥 생기고 코피도 자주 나는데 이거 왜 이래?
혈소판 증가증 [thrombocytosis],"피가 막 철철흐르진 않는데멍은 여기저기 들어서 왜 이러지, 괜찮은거야?"
혈액순환장애 [Circulatory disorder],"손발이 저릿저릿 차갑고 푸르딩딩해졌는데 왜 이러지, 무서워."
혈액응고장애 [Coagulation disorder],여기저기 멍이 들고 피가 잘안멎는데 이거 뭔일인거야?
혈우병 [hemophilia],자꾸 멍이 쉽게들고 피가 잘 안멈춰서 찔끔찔끔 계속 나네... 이거 위험한거 아니야?
혈전증 [thrombosis],다리가 욱신욱신 붓고 저릿저릿 한데 혹시 뭐 잘못된꺼야?
협심증 [angina pectoris],가슴이 쪼이는 것처럼 아프고 숨쉬기도 힘든데.. 이거 심각한 거아냐?
호산구 증가증 [eosinophilia],요 며칠 계속 피곤한데 자꾸 몸이 가렵고 퉁퉁 붓는 것 같아서 왜 이러지하는 중이야.
호지킨 림프종 [Hodgkin lymphoma],목이랑겨드랑이 쪽에뭐가만져지고 쑤시듯이 아파서 미치겠는데 왜 이래?
호흡성산증 [Respiratory acidosis],숨이 헉헉 차고가슴이 답답한데 이러다가쓰러지는 거아냐?
호흡성알칼리증 [Respiratory alkalosis],숨 쉴 때마다 가슴이 두근두근 뛰고 손발이 저릿저릿한데 이거 왜 이러지?
호흡세기관지염-간질성폐렴 [respiratory bronchiolitis-associated interstitial lung disease],가슴이 답답하고 숨 쉴때마다 쌕쌕거리는데 이거 왜 이래...?
호흡장애 [dyspnea],숨이 헉헉차고가슴이 꽉 조이는느낌인데이거왜 이래?
혼수 [coma],나 지금 아무리 불러도 깜빡깜빡 눈도 안뜨고 꿈쩍도 않는데 괜찮은 거겠지...?
홍반 [erythema],피부가 빨갛고 따끈따끈한데왜이렇게 불타는 느낌이지?
홍역 [measles],"몸에 빨간 반점이 막 나고열도 펄펄 나는데,진짜 왜 이러지?"
홍채염 [iritis],눈이 시큰시큰하고 빛 보면너무 아파서 눈 뜨기도 힘든데괜찮을까?
화농 [suppuration],고름이 자꾸 잡히고 욱신욱신쑤셔서 만지기도 겁나는데 아떡하지?
화농성 관절염 [Septic arthritis],무릎이 욱신욱신 붓고뜨겁게 열나는데 걷기도 힘들고 큰일인거지?
